"","leagueId","queueType","tier","rank","summonerId","summonerName","leaguePoints","wins","losses","veteran","inactive","freshBlood","hotStreak"
"53","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","O6BuLT4WmHgIZkCnaUqQuOvtkG7kLgJn68GTTomI16-vkog","T1 Oner","1143","1360","1188","TRUE","FALSE","FALSE","FALSE"
"54","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","NtNjn87FduM5LpTlRIRjngeDmhzd9FH9zdVdt_r77DaNVUo","다없수질","1143"," 582"," 503","TRUE","FALSE","FALSE","FALSE"
"55","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","g4jlgrQI9AIlC-8vxRPaSPD88KNG7t2WwCaZRJy2x8uE-lw","Liiv FATE","1134"," 490"," 413","TRUE","FALSE","FALSE","FALSE"
"56","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","npXsOjh1q_oLGko0hEAQEGFr6qyHn7cYrgyuKgNLLlDeajY","Bbvoy","1130"," 531"," 454","TRUE","FALSE","FALSE","FALSE"
"57","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","4IRcQLnRpI79M1j6V03kBpGGLORehjlbsZ9-edba3FvTyDg","fat sheep","1127","1243","1074","TRUE","FALSE","FALSE","FALSE"
"58","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","_G6tY4rwfc2aGMQxZOqxdxLzSDXfcylJhFA-gBGhYy4m1w","단군의청춘부재","1123"," 608"," 569","TRUE","FALSE","FALSE","TRUE"
"59","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","WIjrXDwr8_AHhO32nehVWKFTyhGcxl6Q4aJNGEW-K_RRhBk","파이팅 인생","1119"," 740"," 683","TRUE","FALSE","FALSE","FALSE"
"60","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","Kh9_yUjf6FG7eXui_s_e-SLFKZui-FPAK_Nl_vjp-rgKvas","Shadow Patch","1114"," 743"," 614","TRUE","FALSE","FALSE","TRUE"
"61","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","Xi8WxVX935Q_LCskTFksx78q-C0gTG7u-oo54dWMEbOe_xc","KT Zzus","1111"," 417"," 350","TRUE","FALSE","FALSE","FALSE"
"62","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","f7ruNWT7pwrsn_XhEbCgmxkqyuKq8u_x-SRipZcUpoAWWrc","T1 Ellim","1109"," 316"," 251","TRUE","FALSE","FALSE","FALSE"
"63","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","n1rXSi5XXUS826OE02VMzS7gn9yd7SiV_UxYdlroJdM12rA","매일배고프다","1105"," 559"," 497","FALSE","FALSE","FALSE","FALSE"
"64","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","2c_Tgx_BBieXsu4SWpe_2KQ9xOXFPBtux43thzXEMlxG0XU","쇼메쇼메","1105"," 373"," 276","FALSE","FALSE","TRUE","FALSE"
"65","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","UgueTkx2aebRHkhdGXmQvDS3tgFNW7nEJiJcs2DNizGdDmzB","Shining fans","1101"," 413"," 353","TRUE","FALSE","FALSE","FALSE"
"66","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","F-vmkk-iPElbQa4YONGNHV6IY5R8Mrib8TwSo02tziE2jZg"," 다드몬아이다","1098"," 392"," 273","TRUE","FALSE","FALSE","FALSE"
"67","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","F4dlO5zipwGf9YxUHJ0RSHcASFwEsJxrGl7yQ28SxJYXAr8","kelinn","1097"," 807"," 749","TRUE","FALSE","FALSE","FALSE"
"68","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","XH7_HT2lvcJ7VYvVNxdHoA25ptlOEQ3wFh5NiYBQd071Avk","쭌 베","1096"," 371"," 294","TRUE","FALSE","FALSE","FALSE"
"69","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","P5GTgoJedpPz-bYxnh1fPVCcUgdrWgm5Uri7nS7moNupDA","동해운수","1095"," 469"," 409","TRUE","FALSE","FALSE","FALSE"
"70","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","k5zAeFQMhXAWfrd3lPG0hXxOwXK5QM2kLNwjcig3xgAVd3c","deokdam","1095"," 372"," 288","TRUE","FALSE","FALSE","FALSE"
"71","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","dg6yafRujD8goKjdPI05Oa8L15CQA26yKtlqcaTwLl4TpJ8","FA ian","1085"," 495"," 414","TRUE","FALSE","FALSE","FALSE"
"72","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","Y2N5ExAaIzdq3h0q_hyT6gOdwqp731A68KomaBVdnmzVWeg","Strange2","1084"," 980"," 852","TRUE","FALSE","FALSE","FALSE"
"73","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","WjwyH5DYFqxsDtt9HtvYtJCD9HdrAwG4UNBUk5YXw3k2jrM","Remika","1079"," 670"," 605","FALSE","FALSE","FALSE","TRUE"
"74","5cc4fe58-4e57-37f1-9dc3-7c32b2632923","RANKED_SOLO_5x5","CHALLENGER","I","4YZdhjFJfOt8WMbo-4lODfE4qgRbKsP13RtEr7BQ3M7CPCc","KT Rebel","1079"," 468"," 399","TRUE","FALSE","FALSE","FALSE"
