"","a99","name","a12","a9","FBK","DRG","kills_ADC","deaths_ADC","assists_ADC","kills_SUP","deaths_SUP","assists_SUP","ADC","SUP","KDA_mean","totalDamageDealtToChampions_mean","visionScore_mean","totalDamageTaken_mean","goldEarned_mean","visionWardsBoughtInGame_mean"
"21356",4912072118,"Ezreal & Braum",100,FALSE,FALSE,FALSE,8,9,2,1,7,11,"Ezreal","Braum",1.38,21409,42,23597,10338.5,9
"41258",4912072118,"Samira & Alistar",200,TRUE,TRUE,TRUE,10,5,13,3,5,25,"Samira","Alistar",5.1,19652,50,30245.5,12131.5,8
"1978",4912072384,"Jhin & Maokai",100,TRUE,FALSE,FALSE,4,2,5,2,4,6,"Jhin","Maokai",2.83,7719.5,24,13626,7648.5,2
"31076",4912072384,"Caitlyn & Morgana",200,FALSE,FALSE,TRUE,1,6,7,5,5,2,"Caitlyn","Morgana",1.36,12515,30.5,11738,8085.5,7.5
"1979",4912074276,"Yone & Janna",100,FALSE,FALSE,FALSE,9,11,5,2,6,17,"Yone","Janna",1.94,13938,43,20907.5,11230,4.5
"41259",4912074276,"Samira & Nautilus",200,TRUE,FALSE,TRUE,6,7,6,1,8,13,"Samira","Nautilus",1.73,8157,53,20528.5,9447,9
"1980",4912130180,"Tristana & Leona",100,TRUE,FALSE,FALSE,10,4,8,1,6,14,"Tristana","Leona",3.3,16501,79,22130,14780.5,15.5
"41260",4912130180,"Kai'Sa & Maokai",200,FALSE,FALSE,TRUE,6,6,8,2,6,6,"Kai'Sa","Maokai",1.83,17163,78,23437.5,13293,7
"1981",4912187486,"Kai'Sa & Sett",100,FALSE,FALSE,FALSE,6,7,5,6,9,8,"Kai'Sa","Sett",1.56,14249.5,41.5,22192.5,10037,9
"41261",4912187486,"Samira & Maokai",200,TRUE,FALSE,TRUE,16,5,14,2,5,22,"Samira","Maokai",5.4,25078.5,44.5,19683,12092,5.5
"21357",4912217422,"Varus & Thresh",100,TRUE,FALSE,TRUE,14,1,9,1,7,19,"Varus","Thresh",5.38,17783.5,63,20806.5,14428.5,7.5
"31077",4912217422,"Aphelios & Seraphine",200,FALSE,TRUE,FALSE,6,7,6,1,9,14,"Aphelios","Seraphine",1.69,19430,55.5,17508.5,10231,9
"1982",4912251197,"Kai'Sa & Sett",100,FALSE,TRUE,FALSE,9,6,6,3,9,6,"Kai'Sa","Sett",1.6,20289,43.5,22302.5,10274.5,7.5
"41262",4912251197,"Jhin & Thresh",200,TRUE,TRUE,TRUE,11,6,14,1,5,28,"Jhin","Thresh",4.91,19362.5,47.5,16728,10340.5,4.5
"21358",4912271563,"Jhin & Seraphine",100,TRUE,FALSE,FALSE,8,2,10,1,7,21,"Jhin","Seraphine",4.44,23137,59.5,21987.5,12873.5,8
"31078",4912271563,"Samira & Thresh",200,FALSE,TRUE,TRUE,6,7,7,1,7,14,"Samira","Thresh",2,17189.5,55.5,27468.5,11568.5,5.5
"1983",4912333156,"Kai'Sa & Maokai",100,TRUE,FALSE,FALSE,18,5,10,2,5,19,"Kai'Sa","Maokai",4.9,19211,42,21359.5,12278.5,6
"31079",4912333156,"Aphelios & Thresh",200,FALSE,FALSE,TRUE,6,8,5,2,8,10,"Aphelios","Thresh",1.44,16759,35.5,18006,9766,6
"21359",4912353190,"Samira & Alistar",100,TRUE,FALSE,TRUE,7,1,3,1,1,10,"Samira","Alistar",10.5,9246,37.5,10820.5,7674.5,6
"41263",4912353190,"Kai'Sa & Rell",200,FALSE,FALSE,FALSE,0,2,3,0,5,3,"Kai'Sa","Rell",0.86,6277,28,10460.5,6769,7.5
"21360",4912358756,"Jhin & Galio",100,FALSE,TRUE,FALSE,9,3,5,2,5,12,"Jhin","Galio",3.5,14730,46,14666,11104,9.5
"41264",4912358756,"Orianna & Nautilus",200,TRUE,TRUE,TRUE,2,2,18,0,7,13,"Orianna","Nautilus",3.67,12653.5,51.5,15496,9330.5,8.5
"21361",4912366972,"Jhin & Bard",100,TRUE,FALSE,FALSE,11,4,12,7,4,16,"Jhin","Bard",5.75,17667.5,28.5,12670.5,10329.5,5
"41265",4912366972,"Kai'Sa & Maokai",200,FALSE,FALSE,TRUE,3,6,5,0,8,7,"Kai'Sa","Maokai",1.07,7922,27.5,13973.5,6369,2
"21362",4912515143,"Kai'Sa & Thresh",100,FALSE,FALSE,TRUE,11,3,2,0,9,8,"Kai'Sa","Thresh",1.75,14334,31.5,15462,9236,4.5
"41266",4912515143,"Jhin & Maokai",200,TRUE,FALSE,FALSE,2,5,12,6,5,11,"Jhin","Maokai",3.1,9365,34,17371.5,8022,3
"21363",4912541551,"Kai'Sa & Galio",100,FALSE,FALSE,FALSE,2,5,2,1,8,3,"Kai'Sa","Galio",0.62,5822,24,14486,7027.5,4.5
"41267",4912541551,"Draven & Thresh",200,TRUE,FALSE,TRUE,14,1,8,3,1,18,"Draven","Thresh",21.5,14017,38.5,11350,11403.5,5.5
"21364",4912582343,"Kai'Sa & Alistar",100,TRUE,FALSE,FALSE,4,2,8,1,1,15,"Kai'Sa","Alistar",9.33,6401,30,9377,7491,5
"41268",4912582343,"Jhin & Sett",200,FALSE,FALSE,TRUE,1,5,1,1,6,2,"Jhin","Sett",0.45,5043.5,37,9346.5,6540,4
"1984",4912583329,"Jhin & Pantheon",100,FALSE,FALSE,TRUE,5,7,12,6,12,8,"Jhin","Pantheon",1.63,20296.5,58,28184,11810.5,8
"31080",4912583329,"Aphelios & Leona",200,TRUE,TRUE,FALSE,8,5,12,5,8,17,"Aphelios","Leona",3.23,26942,63.5,22891.5,13787,7.5
"1985",4912595766,"Samira & Maokai",100,FALSE,FALSE,TRUE,2,4,2,0,4,5,"Samira","Maokai",1.12,9112.5,22.5,12288.5,7108.5,1.5
"31081",4912595766,"Vayne & Morgana",200,TRUE,FALSE,FALSE,3,1,6,0,2,14,"Vayne","Morgana",7.67,9847.5,36,9257,8145.5,4.5
"1986",4912599175,"Xayah & Maokai",100,FALSE,TRUE,TRUE,6,5,8,4,8,10,"Xayah","Maokai",2.15,15513.5,34,18113.5,10440.5,4
"41269",4912599175,"Miss Fortune & Alistar",200,TRUE,TRUE,FALSE,8,5,4,0,7,16,"Miss Fortune","Alistar",2.33,11602,50.5,19530,10397.5,10.5
"21365",4912785227,"Kennen & Alistar",100,TRUE,FALSE,TRUE,0,5,4,2,7,12,"Kennen","Alistar",1.5,7915,30.5,21961,9670.5,3.5
"41270",4912785227,"Caitlyn & Morgana",200,FALSE,FALSE,FALSE,2,6,6,1,8,14,"Caitlyn","Morgana",1.64,16379.5,47.5,22472.5,9285.5,7
